COMPANY,SLOGAN,URL,GICS_Sector,SectorId,GICS_SubIndustry,WORDS,
McDonald’s Corp.,I’m Lovin’ It,McDonald's Corp.,Consumer Discretionary,1,Restaurants,3,
McDonald's,"Food, folks and fun.",McDonald's,Consumer Discretionary,1,Restaurants,,
McDonald's,Have you had your break today?,McDonald's,Consumer Discretionary,1,Restaurants,,
McDonald's,We love to see you smile.,McDonald's,Consumer Discretionary,1,Restaurants,,
McDonald's,You deserve a break today.,McDonald's,Consumer Discretionary,1,Restaurants,,
McKesson Corp.,Empowering Healthcare.,McKesson Corp.,Health Care,6,Health Care Distributors,2,
Medtronic plc,Alleviating Pain • Restoring Health • Extending Life,Medtronic plc,Health Care,6,Health Care Equipment,8,
Merck & Co.,Committed to making a difference.,Merck & Co.,Health Care,6,Pharmaceuticals,5,
MetLife Inc.,It’s at times like this that Metlife sets itself apart.,MetLife Inc.,Financials,4,Life & Health Insurance,10,
Michael Kors Holdings,"A chic, luxurious, sexy fragrance for women.",Michael Kors Holdings,Consumer Discretionary,1,"Apparel, Accessories & Luxury Goods",7,
Microchip Technology,"anything that revolves, anything that moves",Microchip Technology,Information Technology,7,Semiconductors,6,
Micron Technology,Performance. Power. Reliability,Micron Technology,Information Technology,7,Semiconductors,3,
Microsoft Corp.,Your Potential. Our Passion.,Microsoft Corp.,Information Technology,7,Systems Software,4,
Mohawk Industries,It’s more than a floor.,Mohawk Industries,Consumer Discretionary,1,Home Furnishings,5,
Molson Coors Brewing Company,The Banquet Beer.,Molson Coors Brewing Company,Consumer Staples,2,Brewers,3,
Mondelez International,Make today delicious,Mondelez International,Consumer Staples,2,Packaged Foods & Meats,3,
Monster Beverage,Fuel Your Fire,Monster Beverage,Consumer Staples,2,Soft Drinks,3,
Moody’s Corp,"Small Business, Credit Index",Moody's Corp,Financials,4,Financial Exchanges & Data,4,
Morgan Stanley,World Wise.,Morgan Stanley,Financials,4,Investment Banking & Brokerage,2,
Motorola Solutions Inc.,Helping customers be their best in the moments that matter,Motorola Solutions Inc.,Information Technology,7,Communications Equipment,10,
Mylan N.V.,Seeing is believing,Mylan N.V.,Health Care,6,Pharmaceuticals,3,
NASDAQ OMX Group,Trade up.,"Nasdaq, Inc.",Financials,4,Financial Exchanges & Data,2,
National Oilwell Varco Inc.,One Company Unlimited Solutions,National Oilwell Varco Inc.,Energy,3,Oil & Gas Equipment & Services,4,
NetApp,“Go further faster”,NetApp,Information Technology,7,Internet Software & Services,3,
Netflix Inc.,It just might bring everyone together,Netflix Inc.,Information Technology,7,Internet Software & Services,6,
Newell Rubbermaid Co.,“Brands That Matter”,Newell Brands,Consumer Discretionary,1,Housewares & Specialties,3,
Newfield Exploration Co,Balance of Exploration and Acquisitions,Newfield Exploration Co,Energy,3,Oil & Gas Exploration & Production,5,
Newmont Mining Corp. (Hldg. Co.),The Gold Company.,Newmont Mining Corporation,Materials,8,Gold,3,
News Corp. Class A,Fair & Balanced.,News Corp. Class A,Consumer Discretionary,1,Publishing,3,
News Corp. Class B,Fair & Balanced.,News Corp. Class B,Consumer Discretionary,1,Publishing,3,
NextEra Energy,We Heard You,NextEra Energy,Utilities,11,Multi-Utilities,3,
Nielsen Holdings,"What People Watch, Listen To and Buy",Nielsen Holdings,Industrials,5,Research & Consulting Services,7,
Nike,Just Do It,Nike,Consumer Discretionary,1,"Apparel, Accessories & Luxury Goods",3,
NiSource Inc.,"Premier Safety, Reliability and Service.",NiSource Inc.,Utilities,11,Multi-Utilities,5,
Noble Energy Inc,"Energizing the World, Bettering People’s Lives",Noble Energy Inc,Energy,3,Oil & Gas Exploration & Production,6,
Nordstrom,Reinvent Yourself,Nordstrom,Consumer Discretionary,1,Department Stores,2,
Norfolk Southern Corp.,The Thoroughbred,Norfolk Southern Corp.,Industrials,5,Railroads,2,
Northern Trust Corp.,"You know your destination. You need a wise, caring advisor alongside you.",Northern Trust Corp.,Financials,4,Asset Management & Custody Banks,12,
Northrop Grumman Corp.,Defining the future.,Northrop Grumman Corp.,Industrials,5,Aerospace & Defense,3,
NRG Energy,We generate power.,NRG Energy,Utilities,11,Independent Power Producers & Energy Traders,3,
Nucor Corp.,It’s Our Nature,Nucor Corp.,Materials,8,Steel,3,
Nvidia Corporation,The Way It’s Meant to be Played,Nvidia Corporation,Information Technology,7,Semiconductors,7,
O’Reilly Automotive,Professional Part People,O'Reilly Automotive,Consumer Discretionary,1,Specialty Stores,3,
Occidental Petroleum,"Develop energy resources safely, profitably and responsibly.",Occidental Petroleum,Energy,3,Oil & Gas Exploration & Production,7,
Omnicom Group,The only we can.The media agencies.,Omnicom Group,Consumer Discretionary,1,Advertising,6,
ONEOK,The ONE in energy,ONEOK,Energy,3,Oil & Gas Storage & Transportation,4,
Oracle Corp.,Oracle is THE information company,Oracle Corp.,Information Technology,7,Application Software,5,
PACCAR Inc.,The World’s Best,PACCAR Inc.,Industrials,5,Construction Machinery & Heavy Trucks,3,
Parker-Hannifin,Engineering YOUR success,Parker-Hannifin,Industrials,5,Industrial Machinery,3,
Paychex Inc.,Payroll. HR. Retirement. Insurance,Paychex Inc.,Information Technology,7,Internet Software & Services,4,
PayPal,The safer way to pay online,PayPal,Information Technology,7,Data Processing & Outsourced Services,6,
Pentair Ltd.,Pentair water.,Pentair plc,Industrials,5,Industrial Machinery,2,
People’s United Financial,Everything Starts With You,People's United Financial,Financials,4,Thrifts & Mortgage Finance,4,
PepsiCo Inc.,Pepsi. It’s the cola.,PepsiCo Inc.,Consumer Staples,2,Soft Drinks,4,
PerkinElmer,For the Better,PerkinElmer,Health Care,6,Health Care Equipment,3,
Perrigo,Quality Affordable Healthcare Products,Perrigo,Health Care,6,Pharmaceuticals,4,
Pfizer Inc.,Pfizer Quality.,Pfizer Inc.,Health Care,6,Pharmaceuticals,2,
PG&E Corp.,Climate Smart,PG&E Corp.,Utilities,11,Multi-Utilities,2,
Philip Morris International,Looks To The Future,Philip Morris International,Consumer Staples,2,Tobacco,4,
Phillips 66,Proud To Be Here,Phillips 66,Energy,3,Oil & Gas Refining & Marketing,4,
Pinnacle West Capital,The choice for digital video.,Pinnacle West Capital,Utilities,11,Multi-Utilities,5,
Pioneer Natural Resources,Creativity Beyond Imagination,Pioneer Natural Resources,Energy,3,Oil & Gas Exploration & Production,3,
PNC Financial Services,Leading the Way.,PNC Financial Services,Financials,4,Regional Banks,3,
Polo Ralph Lauren Corp.,World of Ralph Lauren,Polo Ralph Lauren Corp.,Consumer Discretionary,1,"Apparel, Accessories & Luxury Goods",4,
PPG Industries,We protect and beautify the world,PPG Industries,Materials,8,Specialty Chemicals,6,
PPL Corp.,We’ll Be There When The Light Goes On,PPL Corp.,Utilities,11,Electric Utilities,8,
Praxair Inc.,MAKING OUR PLANET MORE PRODUCTIVE,Praxair Inc.,Materials,8,Industrial Gases,5,
Principal Financial Group,We’ll Give You an Edge.,Principal Financial Group,Financials,4,Life & Health Insurance,5,
Procter & Gamble,"Touching lives, improving life",Procter & Gamble,Consumer Staples,2,Personal Products,4,
Progressive Corp.,"It’s about you, and it’s about time.",Progressive Corp.,Financials,4,Property & Casualty Insurance,7,
Prologis,The strategic partner for Global trade,Prologis,Real Estate,9,Industrial REITs,6,
Prudential Financial,Bring Your Challenges,Prudential Financial,Financials,4,Life & Health Insurance,3,
Public Serv. Enterprise Inc.,We make things work for you,Public Serv. Enterprise Inc.,Utilities,11,Electric Utilities,6,
Public Storage,Real storage expert.,Public Storage,Real Estate,9,Specialized REITs,3,
Pulte Homes Inc.,It’s our philosophy. It’s the way we do business,Pulte Homes Inc.,Consumer Discretionary,1,Homebuilding,9,
PVH Corp.,The Way Forward: Evolve Everyday,PVH Corp.,Consumer Discretionary,1,"Apparel, Accessories & Luxury Goods",5,
Qorvo,“All Around You”,Qorvo,Information Technology,7,Semiconductors,3,
QUALCOMM Inc.,Enabling the Wireless Industry,QUALCOMM Inc.,Information Technology,7,Semiconductors,4,
Quanta Services Inc.,Leadership in Performance and Safety,Quanta Services Inc.,Industrials,5,Construction & Engineering,5,
Quest Diagnostics,The patient comes first,Quest Diagnostics,Health Care,6,Health Care Services,4,
Raytheon Co.,Customer Success is our mission,Raytheon Co.,Industrials,5,Aerospace & Defense,5,
Realty Income Corporation,The Monthly Dividend Company,Realty Income Corporation,Real Estate,9,Retail REITs,4,
Red Hat Inc.,We’re stronger together,Red Hat Inc.,Information Technology,7,Systems Software,3,
Regeneron,Science to medicine.,Regeneron,Health Care,6,Biotechnology,3,
Regions Financial Corp.,You can expect more stability.,Regions Financial Corp.,Financials,4,Regional Banks,5,
Republic Services Inc,Think Green,Republic Services Inc,Industrials,5,Environmental & Facilities Services,2,
Robert Half International,Innovation and Excellence in consulting and staffing,Robert Half International,Industrials,5,Human Resource & Employment Services,7,
Rockwell Automation Inc.,Listen. Think. Solve.,Rockwell Automation Inc.,Industrials,5,Electrical Components & Equipment,3,
Rockwell Collins,Building trust everyday,Rockwell Collins,Industrials,5,Aerospace & Defense,3,
Roper Industries,Simple Ideas. Powerful Results.,Roper Technologies,Industrials,5,Industrial Conglomerates,4,
Ross Stores,Dress for Less.,Ross Stores,Consumer Discretionary,1,Apparel Retail,3,
Royal Caribbean Cruises Ltd,Get Out There,Royal Caribbean Cruises Ltd,Consumer Discretionary,1,"Hotels, Resorts & Cruise Lines",3,
Salesforce.com,Success on Demand,Salesforce.com,Information Technology,7,Internet Software & Services,3,
SCANA Corp,Power for Living,SCANA Corp,Utilities,11,Multi-Utilities,3,
Schlumberger Ltd.,Excellence in Execution,Schlumberger Ltd.,Energy,3,Oil & Gas Equipment & Services,3,
Seagate Technology,“We turn on ideas”,Seagate Technology,Information Technology,7,"Technology Hardware, Storage & Peripherals",4,
Sealed Air Corp.(New),Our Products protect your Products,Sealed Air,Materials,8,Paper Packaging,5,
Sempra Energy,For every day life,Sempra Energy,Utilities,11,Multi-Utilities,4,
Sherwin-Williams,Ask Sherwin-Williams,Sherwin-Williams,Materials,8,Specialty Chemicals,2,
Simon Property Group Inc,Self administered and self managed real estate investment trust,Simon Property Group Inc,Real Estate,9,Retail REITs,9,
Skyworks Solutions,Breakthrough Simplicity,Skyworks Solutions,Information Technology,7,Semiconductors,2,
SL Green Realty,Demanding Quality. Delivering Value.,SL Green Realty,Real Estate,9,Office REITs,4,
Snap-On Inc.,Being a Pro Matters,Snap-On Inc.,Consumer Discretionary,1,Household Appliances,4,
Southern Co.,Smart Energy. Smart Grid. Smart Choices.,Southern Co.,Utilities,11,Electric Utilities,6,
Southwest Airlines,Stop Searching. Start Traveling,Southwest Airlines,Industrials,5,Airlines,4,
Stanley Black & Decker,Performance in Action,Stanley Black & Decker,Consumer Discretionary,1,Household Appliances,3,
Starbucks Corp.,Romancing the bean,Starbucks Corp.,Consumer Discretionary,1,Restaurants,3,
State Street Corp.,Passionate about our client’s success.,State Street Corp.,Financials,4,Asset Management & Custody Banks,5,
Stericycle Inc,Protecting People. Reducing Risk.,Stericycle Inc,Industrials,5,Environmental & Facilities Services,4,
Stryker Corp.,We make a difference,Stryker Corp.,Health Care,6,Health Care Equipment,4,
SunTrust Banks,Live Solid. Bank Solid. SunTrust.,SunTrust Banks,Financials,4,Regional Banks,5,
Symantec Corp.,Confidence in a connected world.,Symantec Corp.,Information Technology,7,Application Software,5,
Synchrony Financial,Engage With Us,Synchrony Financial,Financials,4,Consumer Finance,3,
Sysco Corp.,Good things come from Sysco,Sysco Corp.,Consumer Staples,2,Food Distributors,5,
T. Rowe Price Group,Invest With Confidence,T. Rowe Price Group,Financials,4,Asset Management & Custody Banks,3,
Target Corp.,Expect More. Pay Less.,Target Corp.,Consumer Discretionary,1,General Merchandise Stores,4,
TE Connectivity Ltd.,Every Connection Counts,TE Connectivity Ltd.,Information Technology,7,Electronic Manufacturing Services,3,
Texas Instruments,Technology for Innovators,Texas Instruments,Information Technology,7,Semiconductors,3,
Textron Inc.,Reaching new heights.,Textron Inc.,Industrials,5,Aerospace & Defense,3,
The Bank of New York Mellon Corp.,The Investments Company for the World,The Bank of New York Mellon Corp.,Financials,4,Asset Management & Custody Banks,6,
The Clorox Company,"We make everyday life better, every day",Citrix Systems,Information Technology,7,Internet Software & Services,7,
The Coca Cola Company,Things go better with Coke.,Coca-Cola Company (The),Consumer Staples,2,Soft Drinks,5,
The Hershey Company,The Sweetest Taste on Earth,  ,Consumer Staples,2,Packaged Foods & Meats,5,
The Mosaic Company,Helping the World Grow the Food it Needs,The Mosaic Company,Materials,8,Fertilizers & Agricultural Chemicals,8,
The Walt Disney Company,I’m going to Disney World!,The Walt Disney Company,Consumer Discretionary,1,Cable & Satellite,5,
Thermo Fisher Scientific,The world leader in serving science,Thermo Fisher Scientific,Health Care,6,Health Care Equipment,6,
Tiffany & Co.,True love grows,Tiffany & Co.,Consumer Discretionary,1,"Apparel, Accessories & Luxury Goods",3,
TJX Companies Inc.,Get the max for the minimum.,TJX Companies Inc.,Consumer Discretionary,1,Apparel Retail,6,
Torchmark Corp.,For “middle income” Americans,Torchmark Corp.,Financials,4,Life & Health Insurance,4,
Total System Services,People-Centered Payments®,Total System Services,Information Technology,7,Internet Software & Services,2,
Tractor Supply Company,For Life Out Here,Tractor Supply Company,Consumer Discretionary,1,Specialty Stores,4,
TripAdvisor,Plan and book your perfect trip,TripAdvisor,Consumer Discretionary,1,Internet & Direct Marketing Retail,6,
Twenty-First Century Fox Class A,HOME ENTERTAINMENT,Twenty-First Century Fox Class A,Consumer Discretionary,1,Publishing,2,
Twenty-First Century Fox Class B,HOME ENTERTAINMENT,Twenty-First Century Fox Class B,Consumer Discretionary,1,Publishing,2,
Tyson Foods,Powered by Tyson.,Tyson Foods,Consumer Staples,2,Packaged Foods & Meats,3,
U.S. Bancorp,All of US serving you.,U.S. Bancorp,Financials,4,Diversified Banks,5,
UDR Inc,Opening Doors To The Future,UDR Inc,Real Estate,9,Residential REITs,5,
Under Armour,Protect This House,Under Armour Class A,Consumer Discretionary,1,"Apparel, Accessories & Luxury Goods",3,
Union Pacific,Building America.,Union Pacific,Industrials,5,Railroads,2,
United Continental Holdings,Let’s fly together,United Continental Holdings,Industrials,5,Airlines,3,
United Health Group Inc.,Helping People Live Healthier Lives.,United Health Group Inc.,Health Care,6,Managed Health Care,5,
United Parcel Service,We run the tightest ship in the shipping business.,United Parcel Service,Industrials,5,Air Freight & Logistics,9,
"United Rentals, Inc.",You’re building the future. We’re here to help.™,"United Rentals, Inc.",Industrials,5,Trading Companies & Distributors,8,
United Technologies,You can see everything from here,United Technologies,Industrials,5,Aerospace & Defense,6,
"Universal Health Services, Inc.",The Health Care you need. Close to Home.,"Universal Health Services, Inc.",Health Care,6,Health Care Facilities,8,
Unum Group,Better Benefits at Work.,Unum Group,Financials,4,Life & Health Insurance,4,
V.F. Corp.,We Fit Your Life,V.F. Corp.,Consumer Discretionary,1,"Apparel, Accessories & Luxury Goods",4,
Valero Energy,Investing in Excellence.,Valero Energy,Energy,3,Oil & Gas Refining & Marketing,3,
Varian Medical Systems,A partner for life,Varian Medical Systems,Health Care,6,Health Care Equipment,4,
Ventas Inc,"Reliable Capital, Delivering value",Ventas Inc,Real Estate,9,Health Care REITs,4,
Verisign Inc.,Powered by Verisign,Verisign Inc.,Information Technology,7,Internet Software & Services,3,
Verisk Analytics,Serve. Add Value. Innovate,Verisk Analytics,Industrials,5,Research & Consulting Services,4,
Verizon Communications,Rule the Air,Verizon Communications,Telecommunication Services,10,Integrated Telecommunication Services,3,
Vertex Pharmaceuticals Inc,The Science of Possibility,Vertex Pharmaceuticals Inc,Health Care,6,Biotechnology,4,
Viacom Inc.,I want My MTV,Viacom Inc.,Consumer Discretionary,1,Cable & Satellite,4,
Visa Inc.,Go with Visa,Visa Inc.,Information Technology,7,Internet Software & Services,3,
Vornado Realty Trust,Fully-integrated real estate investment trust,Vornado Realty Trust,Real Estate,9,Office REITs,5,
Vulcan Materials,Think Safety,Vulcan Materials,Materials,8,Construction Materials,2,
Walgreens Boots Alliance,The Pharmacy America trusts.,Walgreens Boots Alliance,Consumer Staples,2,Drug Retail,4,
Wal-Mart Stores,Save Money. Live Better.,Walmart,Consumer Staples,2,Hypermarkets & Super Centers,4,
Waste Management Inc.,Think green,Waste Management Inc.,Industrials,5,Environmental & Facilities Services,2,
Waters Corporation,The science of what’s possible,Waters Corporation,Health Care,6,Health Care Distributors,5,
Wells Fargo,Together we’ll go far.,Wells Fargo,Financials,4,Diversified Banks,4,
Welltower Inc.,Humane Capital Help Desk,Welltower Inc.,Real Estate,9,Health Care REITs,4,
Western Digital,Designed to protect your data.,Western Digital,Information Technology,7,"Technology Hardware, Storage & Peripherals",5,
Western Union Co,The fastest way to send money – worldwide,Western Union Co,Information Technology,7,Internet Software & Services,8,
Weyerhaeuser Corp.,Growing a truly great company.,Weyerhaeuser,Real Estate,9,Specialized REITs,5,
Whirlpool Corp.,"Work Globally, Act Locally",Whirlpool Corp.,Consumer Discretionary,1,Household Appliances,4,
Williams Cos.,We make energy happen.,Williams Cos.,Energy,3,Oil & Gas Storage & Transportation,4,
Willis Towers Watson,Family of Companies,Willis Towers Watson,Financials,4,Insurance Brokers,3,
Wynn Resorts Ltd,Wynn Las Vegas,Wynn Resorts Ltd,Consumer Discretionary,1,Casinos & Gaming,3,
Xcel Energy Inc,Responsible by Nature,Xcel Energy Inc,Utilities,11,Multi-Utilities,3,
Xerox Corp.,Work can work better,Xerox,Information Technology,7,"Technology Hardware, Storage & Peripherals",4,
Xilinx Inc,All Programmable,Xilinx,Information Technology,7,Semiconductors,2,
XL Capital,Make Your World Go,XL Group,Financials,4,Property & Casualty Insurance,4,
Xylem Inc.,Let’s Solve Water,Xylem Inc.,Industrials,5,Industrial Machinery,3,
Yum! Brands Inc,Alone we’re delicious…together we’re Yum!,Yum! Brands Inc,Consumer Discretionary,1,Restaurants,5,
Zimmer Biomet Holdings,Personal fit. Renewed life,Zimmer Biomet Holdings,Health Care,6,Health Care Equipment,4,
Zions Bancorp,A collection of Great banks,Zions Bancorp,Financials,4,Regional Banks,5,
Zoetis,"For Animals, For Health. For You",Zoetis,Health Care,6,Pharmaceuticals,6,