,COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,Unnamed: 7,CSLOGANS
230,Dominion Resources,What we do everyday Powers you everyday,55,Dominion Energy,Utilities,Electric Utilities,7.0,,everyday power everyday
231,Domino's Pizza,"Get the door, it's Domino's!",25,Domino's Pizza,Consumer Discretionary,,,,get domino
232,Domino's Pizza,You got 30 minutes.,25,Domino's Pizza,Consumer Discretionary,,,,got 30
233,Dover Corp.,redefining what's possible,20,Dover Corp.,Industrials,Industrial Machinery,3.0,,redefin possibl
234,Dow Chemical,Living. Improved Daily.,15,DowDuPont,Materials,Diversified Chemicals,3.0,,live improv daili
235,Dr Pepper Snapple Group,We do things with flavor,25,Dr Pepper Snapple Group,Consumer Discretionary,,5.0,,thing flavor
236,DR. REDDY'S LABORATORIES , Life. Research. Hope,35,,Health Care,,,,life research hope
237,DTE Energy Co.,For all the energy you'll ever need.,55,DTE Energy Co.,Utilities,Multi-Utilities,7.0,,energi youll ever need
238,Du Pont (E.I.),The Miracles of Science,15,Du Pont (E.I.),Materials,,4.0,,miracl scienc
239,Duke Energy,Powering and empowering our communities,55,Duke Energy,Utilities,Electric Utilities,5.0,,power empow commun
240,Dun & Bradstreet,committed to your success.,45,Dun & Bradstreet,Information Technology,,4.0,,commit success
241,Duracell,You can't top the copper top.,25,Duracell,Consumer Discretionary,,,,cant top copper top
242,E*Trade,Get high rates without the risks.,40,E*Trade,Financials,Investment Banking & Brokerage,6.0,,get high rate without risk
243,Eastman Chemical,Where Chemistry and Innovation come together.,15,Eastman Chemical,Materials,Diversified Chemicals,6.0,,chemistri innov togeth
244,Eaton Corporation,Powering Business Worldwide,20,Eaton Corporation,Industrials,Electrical Components & Equipment,3.0,,power busi worldwid
245,EBAY , The World's Online Market Place,25,,Consumer Discretionary,,,,world onlin market place
246,eBay Inc.,"Buy it, sell it, love it",45,eBay Inc.,Information Technology,Internet Software & Services,6.0,,buy sell love
247,Ecolab Inc.,The Global Leader in Commercial and Sanitizing Solutions,15,Ecolab Inc.,Materials,Specialty Chemicals,8.0,,global leader commerci sanit solut
248,Edison Int'l,Leading the way in electricity.,55,Edison Int'l,Utilities,Electric Utilities,5.0,,lead way electr
249,Edwards Lifesciences,Global Leader in the Science of Heart Valves and Hemodynamic Monitoring,35,Edwards Lifesciences,Health Care,Health Care Equipment,11.0,,global leader scienc heart valv hemodynam monitor
250,Electronic Arts,If it's in the game. It's in the game.,45,Electronic Arts,Information Technology,Home Entertainment Software,9.0,,game game
251,EMC Corp.,Where information lives.,45,EMC Corp.,Information Technology,,3.0,,inform live
252,Emerson Electric Company,Consider it solved.,20,Emerson Electric Company,Industrials,Electrical Components & Equipment,3.0,,consid solv
253,Endo International,Serving for the health of the people,35,Endo International,Health Care,,7.0,,serv health peopl
254,Energizer ,He Keeps Going and Going and ,25,Energizer,Consumer Discretionary,,,,keep go go
255,Entergy Corp.,The Power of People.,55,Entergy Corp.,Utilities,Electric Utilities,4.0,,power peopl
256,EOG Resources,"When you think energy, think EOG",10,EOG Resources,Energy,Oil & Gas Exploration & Production,6.0,,think energi think eog
257,EPSON , Exceed Your Vision,25,,Consumer Discretionary,,,,exceed vision
258,EQT Corporation,Where energy means innovation,10,EQT Corporation,Energy,Oil & Gas Exploration & Production,4.0,,energi mean innov
259,Equifax Inc.,Inform. Enrich. Empower.,25,Equifax Inc.,Consumer Discretionary,Research & Consulting Services,3.0,,inform enrich empow
260,Equinix,Where Opportunity Connects,50,Equinix,Telecommunication Services,Specialized REITs,3.0,,opportun connect
261,Equity Residential,A place people are proud to call home,60,Equity Residential,Real Estate,Residential REITs,8.0,,place peopl proud call home
262,Ernst and Young , Quality in Everything we Do,45,,Information Technology,,,,qualiti everyth
263,Essar corp ,we create value,10,,,,,,creat valu
264,Essex Property Trust Inc,Every Story is Unique. Every Home is Different.,60,"Essex Property Trust, Inc.",Real Estate,Residential REITs,8.0,,everi stori uniqu everi home differ
265,Esso/Exxon,Put a tiger in your tank.,10,Esso/Exxon,Energy,Oil & Gas Exploration & Production,,,put tiger tank
266,Estee Lauder Cos.,Bringing the best to everyone we touch.,25,Estee Lauder Cos.,Consumer Discretionary,Personal Products,7.0,,bring best everyon touch
267,Eversource Energy,"Take only pictures, leave only footprints",55,Eversource Energy,Utilities,Multi-Utilities,6.0,,take onli pictur leav onli footprint
268,Exelon Corp.,Sustainable Advantage,55,Exelon Corp.,Utilities,Multi-Utilities,2.0,,sustain advantag
269,Expedia Inc.,Where you book matters,25,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,4.0,,book matter
270,Expeditors Int'l,You'd be surprised how far we'll go for you.,20,Expeditors International,Industrials,Air Freight & Logistics,9.0,,youd surpris far well go
271,Express Scripts,Serving the prescription needs of more than 50 million Americans.,35,Express Scripts,Health Care,Health Care Distributors,10.0,,serv prescript need 50 million american
272,Extra Space Storage,Real storage expert,60,Extra Space Storage,Real Estate,Specialized REITs,3.0,,real storag expert
273,Exxon Mobil Corp.,Taking on the world's toughest energy challenges.,10,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,7.0,,take world toughest energi challeng
274,F5 Networks,IT agility. Your way.,50,F5 Networks,Telecommunication Services,Communications Equipment,4.0,,agil way
275,Facebook,Be Connected. Be Discovered. Be on Facebook.,45,"Facebook, Inc.",Information Technology,Internet Software & Services,7.0,,connect discov facebook
276,Farmers Insurance Group,Gets you back where you belong.,40,Farmers Insurance Group,Financials,Property & Casualty Insurance,,,get back belong
277,Fastenal Co,Growth through customer service,20,Fastenal Co,Industrials,Building Products,4.0,,growth custom servic
278,Federal Express,"When it absolutely, positively, has to be there overnight.",20,Federal Express,Industrials,,,,absolut posit overnight
279,Federal Realty Investment Trust,We make home possible,60,Federal Realty Investment Trust,Real Estate,Retail REITs,4.0,,make home possibl
280,FedEx Corporation,"Relax, it's FedEx; The world on time",20,FedEx Corporation,Industrials,Air Freight & Logistics,7.0,,relax fedex world time
281,FIAT , Driven by Passion. FIAT,20,,Industrials,,,,driven passion fiat
282,Fidelity National Information Services,160 years of Experience,45,Fidelity National Information Services,Information Technology,Internet Software & Services,4.0,,160 year experi
283,Fifth Third Bancorp,The things we do for dreams.,40,Fifth Third Bancorp,Financials,Regional Banks,6.0,,thing dream
284,First Solar Inc,Lowering The Cost of Solar Electricity,10,First Solar Inc,Energy,,6.0,,lower cost solar electr
285,FirstEnergy Corp,Our energy is working for you.,55,FirstEnergy Corp,Utilities,Electric Utilities,6.0,,energi work
286,Fiserv Inc,Source. Capture. Optimization.,45,Fiserv Inc,Information Technology,Internet Software & Services,3.0,,sourc captur optim
287,FLIR Systems,The world's sixth sense.,45,FLIR Systems,Information Technology,Electronic Equipment & Instruments,4.0,,world sixth sens
288,Flowserve Corporation,Experience in motion.,20,Flowserve Corporation,Industrials,Industrial Machinery,3.0,,experi motion
289,Fluor Corp.,How the world is built.,20,Fluor Corp.,Industrials,Construction & Engineering,5.0,,world built
290,FMC Corporation,We put you first. And keep you ahead.,20,FMC Corporation,Industrials,Fertilizers & Agricultural Chemicals,8.0,,put first keep ahead
291,Folgers,The best part of waking up is Folgers in your cup!,30,Folgers,Consumer Staples,,,,best part wake folger cup
292,Ford Mondeo, Redefined Aggression,25,,Consumer Discretionary,,,,redefin aggress
293,Ford Motor,Built for the road ahead.,25,Ford Motor,Consumer Discretionary,Automobile Manufacturers,5.0,,built road ahead
294,Franklin Resources,Gain from our perspective,40,Franklin Resources,Financials,Asset Management & Custody Banks,4.0,,gain perspect
295,Freeport-McMoran Cp & Gld,Connecting the Future,15,Freeport-McMoRan Inc.,Materials,Copper,3.0,,connect futur
296,Frontier Communications,Welcome to the New Frontier.,50,Frontier Communications,Telecommunication Services,,5.0,,welcom new frontier
297,GAIL , Gas and Beyond,55,,Utilities,,,,ga beyond
298,GameStop Corp.,Power to the Players,25,GameStop Corp.,Consumer Discretionary,,4.0,,power player
299,Gap (The),For every generation there's a Gap.,25,Gap Inc.,Consumer Discretionary,Apparel Retail,6.0,,everi gener gap
300,Garmin Ltd.,We'll Take You There,25,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,4.0,,well take
301,GEICO,So easy a caveman can do it.,40,GEICO,Financials,Property & Casualty Insurance,,,easi caveman
302,General Dynamics,Strength on your side,20,General Dynamics,Industrials,Aerospace & Defense,4.0,,strength side
303,General Electric,We bring good things to life.,20,General Electric,Industrials,Industrial Conglomerates,6.0,,bring good thing life
304,General Electric,Imagination at Work.,20,General Electric,Industrials,Industrial Conglomerates,,,imagin work
305,General Growth Properties Inc.,"Fully integrated, self managed and self administered REIT",60,General Growth Properties Inc.,Real Estate,Retail REITs,8.0,,fulli integr self manag self administ reit
306,General Mills,Nourishing Lives.,30,General Mills,Consumer Staples,Packaged Foods & Meats,2.0,,nourish live
307,General Motors,People in motion.,25,General Motors,Consumer Discretionary,Automobile Manufacturers,3.0,,peopl motion
308,Genuine Parts,Get the good stuff.,20,Genuine Parts,Industrials,Specialty Stores,4.0,,get good stuff
309,Gilead Sciences,Advancing therapeutics. Improving lives.,35,Gilead Sciences,Health Care,Biotechnology,4.0,,advanc therapeut improv live
310,GlaxoSmithKline,"Do more, feel better, live longer.",35,GlaxoSmithKline,Health Care,,,,feel better live longer
311,GM ,Find new roads,25,,Consumer Discretionary,,,,find new road
312,Godrej locks, PEACE OF MIND.GUARANTEED,25,,Consumer Discretionary,,,,peac mindguarante
313,Goldfish,The snack that smiles back.,30,Goldfish,Consumer Staples,,,,snack smile back
314,Goldman Sachs Group,Our client's intrests always come first.,40,Goldman Sachs Group,Financials,Investment Banking & Brokerage,6.0,,client intrest alway first
315,Goodyear Tire & Rubber,More Driven,25,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,2.0,,driven
316,Grainger (W.W.) Inc.,For the ones who get it done.,20,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,7.0,,one get done
317,Gucci, Quality is remembered long after the price is forgotten,25,,Consumer Discretionary,,,,qualiti rememb long price forgotten
318,Haier, Inspired living,25,,Consumer Discretionary,,,,inspir live
319,Halliburton Co.,Unleash the energy,10,Halliburton Co.,Energy,Oil & Gas Equipment & Services,3.0,,unleash energi
320,Hanesbrands Inc,Look who we've got our Hanes on now,25,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",8.0,,look weve got hane
321,Harley-Davidson," american by birth, rebel by choice",25,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,8.0,,american birth rebel choic
322,Harman Int'l Industries,Expect Brilliance,20,Harman Int'l Industries,Industrials,,2.0,,expect brillianc
323,Harris Corporation,technology to connect inform and protect,20,Harris Corporation,Industrials,Communications Equipment,4.0,,technolog connect inform protect
324,Harrod's retailer, London ENTER A DIFFERENT WORLD,25,,Consumer Discretionary,,,,london enter differ world
325,Hartford Financial Svc.Gp.,Always Thinking Ahead.,40,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,3.0,,alway think ahead
326,Hasbro Inc.,Boy Oh Boy! It's A Hasbro Toy!,25,Hasbro Inc.,Consumer Discretionary,Leisure Products,7.0,,boy oh boy hasbro toy
327,HCA Holdings,"It's you, it's me, it's all of us",35,HCA Holdings,Health Care,Health Care Facilities,8.0,,us
328,HCP Inc.,Strategy. Execution. Results.,60,HCP Inc.,Real Estate,Health Care REITs,3.0,,strategi execut result
329,Head & Shoulders,You never get a second chance to make a first impression.,25,Head & Shoulders,Consumer Discretionary,,,,never get second chanc make first impress
330,Heinz Baked Beans,Beanz Meanz Heinz.,30,Heinz Baked Beans,Consumer Staples,,,,beanz meanz heinz
331,Hellmann's,It wouldn't be home without Hellmann's.,30,Hellmann's,Consumer Staples,,,,wouldnt home without hellmann
332,Helmerich & Payne,Integrity. Respect.Teamwork. Creativity.,10,Helmerich & Payne,Energy,Oil & Gas Drilling,3.0,,integr respectteamwork creativ
333,Henry Schein,We will help you get there,35,Henry Schein,Health Care,Health Care Distributors,6.0,,help get
334,Hess Corporation,Energy on the move,10,Hess Corporation,Energy,Integrated Oil & Gas,4.0,,energi move
335,Hewlett Packard Enterprise,Accelerating Next,45,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2.0,,acceler next
336,Hitachi, Inspire the Next,25,,Consumer Discretionary,,,,inspir next
337,Hologic,The Science of Sure,35,Hologic,Health Care,Health Care Equipment,4.0,,scienc sure
338,Home Depot,More Saving. More Doing.,25,Home Depot,Consumer Discretionary,Home Improvement Retail,4.0,,save
339,HOME DEPOT , You can do it. We can Help.,25,Home Depot,Consumer Discretionary,Home Improvement Retail,,,help
340,HONDA , The Power of Dreams,25,,Consumer Discretionary,,,,power dream
341,Honeywell Int'l Inc.,"If we say it, we'll do it",20,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,7.0,,say well
342,Hormel Foods Corp.,Life Better Served,30,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,3.0,,life better serv
343,Host Hotels & Resorts,We bring the city to life,60,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,6.0,,bring life
344,HP Inc.,Keep reinventing.,45,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2.0,,keep reinvent
345,HSBC,The world's local bank.,40,HSBC,Financials,Regional Banks,,,world local bank
346,Hughes Software, Think skywards,45,,Information Technology,,,,think skyward
347,Humana Inc.,Guidance when you need it most.,35,Humana Inc.,Health Care,Managed Health Care,6.0,,guidanc need
348,Huntington Bancshares,A bank invested in people.,40,Huntington Bancshares,Financials,Regional Banks,5.0,,bank invest peopl
349,Hutch Cellular India,"Wherever you go, our network follows",50,,Telecommunication Services,,,,wherev go network follow
350,Hyundai, Drive your way,25,,Consumer Discretionary,,,,drive way
351,IBM , ON DEMAND,45,,Information Technology,,,,demand
352,IBM ,"  I think, therefore IBM.",45,,Information Technology,,,,think therefor ibm
353,Idea Cellular,An idea can change your life.,50,Idea Cellular,Telecommunication Services,,,,idea chang life
354,iFlex Solutions,Empowering Financial Institutions Globally.,40,iFlex Solutions,Financials,,,,empow financi institut global
355,Illinois Tool Works,When customers depend on us We're there.,20,Illinois Tool Works,Industrials,Industrial Machinery,7.0,,custom depend us
356,Illumina Inc,New thinking.,35,Illumina Inc,Health Care,Life Sciences Tools & Services,2.0,,new think
357,Infosys ," "" Powered by Intellect, Driven by Values; Improve your odds with Infosys Predictability""",45,,Information Technology,,,,power intellect driven valu improv odd infosi predict
358,Ingersoll-Rand PLC,Inspiring progress,20,Ingersoll-Rand PLC,Industrials,Industrial Machinery,2.0,,inspir progress
359,Intel,Intel Inside,45,Intel Corp.,Information Technology,Semiconductors,3.0,,intel insid
360,Intercontinental Exchange,Trade the world.,40,Intercontinental Exchange,Financials,Financial Exchanges & Data,3.0,,trade world
361,International Bus. Machines,Let's build a smarter planet,45,International Business Machines,Information Technology,IT Consulting & Other Services,5.0,,let build smarter planet
362,International Paper,We Will Not Fail Our Customers!!,15,International Paper,Materials,Paper Packaging,6.0,,fail custom
363,Interpublic Group,A global leader in modern marketing solutions,25,Interpublic Group,Consumer Discretionary,Advertising,7.0,,global leader modern market solut
364,Intl Flavors & Fragrances,Engaging The Senses.,15,Intl Flavors & Fragrances,Materials,Specialty Chemicals,3.0,,engag sens
365,Intuit Inc.,"Small Business, rejoice",45,Intuit Inc.,Information Technology,Internet Software & Services,3.0,,small busi rejoic
366,Intuitive Surgical Inc.,Improving patient outcomes,35,Intuitive Surgical Inc.,Health Care,Health Care Equipment,3.0,,improv patient outcom
367,Invesco Ltd.,Explore intentional investing with Invesco,40,Invesco Ltd.,Financials,Asset Management & Custody Banks,5.0,,explor intent invest invesco
368,IOCL , Bringing Energy to Life,10,,,,,,bring energi life
369,Iron Mountain Incorporated,The Leader in Records & Information Management,45,Iron Mountain Incorporated,Information Technology, ,7.0,,leader record inform manag
370,Isaly Dairy Company's Klondike bar,What would you do for a Klondike bar?,30,Isaly Dairy Company's Klondike bar,Consumer Staples,,,,would klondik bar
371,Ivory Soap,Ivory Soap - 9944/100% Pure.,25,Ivory Soap,Consumer Discretionary,,,,ivori soap 9944100 pure
372,J. B. Hunt Transport Services,The Transportation Logistics Company,20,J. B. Hunt Transport Services,Industrials,Trucking,4.0,,transport logist compani
373,Jack FM,Playing what we want.,25,Jack FM,Consumer Discretionary,Broadcasting,,,play
374,Jacobs Engineering Group,People are our greatest asset,20,Jacobs Engineering Group,Industrials,Construction & Engineering,5.0,,peopl greatest asset
375,Jell-O,There's always room for Jell-O.,30,Jell-O,Consumer Staples,,,,alway room jello
376,Jet Airways , The Joy of Flying,20,,Industrials,,,,joy fli
377,Jobsahead.com, FILL IN YOUR AMBITION,25,,Consumer Discretionary,,,,fill ambit
378,Johnnie Walker, whiskey Keep Walking,30,,Consumer Staples,,,,whiskey keep walk
379,Johnson & Johnson,Your Druggist is More Than a Merchant,35,Johnson & Johnson,Health Care,Health Care Equipment,7.0,,druggist merchant
380,Johnson Controls,Ingenuity Welcome.,20,Johnson Controls International,Industrials,Building Products,2.0,,ingenu welcom
381,JPMorgan Chase & Co.,The right relationship is everything,40,JPMorgan Chase & Co.,Financials,Diversified Banks,5.0,,right relationship everyth
382,Juniper Networks,The New Network Is Here,45,Juniper Networks,Information Technology,Communications Equipment,5.0,,new network
383,JVC , The Perfect Experience,25,,Consumer Discretionary,,,,perfect experi
384,Kansas City Southern,The shortest route from Kansas City to salt water.,20,Kansas City Southern,Industrials,Railroads,9.0,,shortest rout kansa salt water
385,Kay Jewelers,Every kiss begins with Kay,25,Kay Jewelers,Consumer Discretionary,,,,everi kiss begin kay
386,Kellogg Co.,See You at Breakfast,30,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,4.0,,see breakfast
387,Kentucky Fried Chicken,Finger lickin' good,25,KFC,Consumer Discretionary,Restaurants,,,finger lickin good
388,KeyCorp,Achieve anything.,40,KeyCorp,Financials,Regional Banks,2.0,,achiev anyth
389,KFC,We do chicken right!,25,KFC,Consumer Discretionary,Restaurants,,,chicken right
390,Kimberly-Clark,It feels good to feel.,30,Kimberly-Clark,Consumer Staples,Household Products,5.0,,feel good feel
391,Kimco Realty,"Integrity, Creativity, Stability.",60,Kimco Realty,Real Estate,Retail REITs,3.0,,integr creativ stabil
392,Kinder Morgan,A different kind of energy company,10,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,6.0,,differ kind energi compani
393,Kingfisher Airlines , Fly the good times,20,,Industrials,,,,fli good time
394,Kit Kat,"Give me a break, Give me a kit Kat",30,Kit Kat,Consumer Staples, ,,,give break give kit kat
395,Kitchen Cabinet Kings,"Cabinets fit for royalty, but affordable for all!",25,Kitchen Cabinet Kings,Consumer Discretionary,,,,cabinet fit royalti afford
396,KLA-Tencor Corp.,Accelerating Yield,20,KLA-Tencor Corp.,Industrials,Semiconductor Equipment,2.0,,acceler yield
397,KMART , The stuff of life.,30,,Consumer Staples,,,,stuff life
398,Kohl's Corp.,Expect Great Things,25,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,3.0,,expect great thing
399,Kotak , Think Investments. Think Kotak.,40,,Financials,,,,think invest think kotak
400,Kraft Heinz Co,A little taste of heaven.,30,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,5.0,,littl tast heaven
401,KROGER , Costs less to get more,30,Kroger Co.,Consumer Staples,Food Retail,4.0,,cost less get
402,Kroger Co.,"Right Store, Right Price",30,Kroger Co.,Consumer Staples,Food Retail,4.0,,right store right price
403,L Brands Inc.,Straight from the heartland,25,L Brands Inc.,Consumer Discretionary,Apparel Retail,4.0,,straight heartland
404,L'Oreal,Because you're worth it,25,,Consumer Discretionary,,,,becaus worth
405,L-3 Communications Holdings,From Vision To Reality,20,L-3 Communications Holdings,Industrials,Aerospace & Defense,4.0,,vision realiti
406,Laboratory Corp. of America Holding,Innovation. Quality. Convenience.,35,Laboratory Corp. of America Holding,Health Care,Health Care Services,3.0,,innov qualiti conveni
407,Lam Research,Changing the value equation,45,Lam Research,Information Technology,Semiconductor Equipment,4.0,,chang valu equat
408,LARSEN and TOUBRO , We make things which make India proud,20,,Industrials,,,,make thing make india proud
409,LEE , The jeans that built America,25,,Consumer Discretionary,,,,jean built america
410,Legg Mason,Global Asset Management,40,Legg Mason,Financials,,3.0,,global asset manag
411,Leggett & Platt,Enhancing people's lives for over 130 years.,20,Leggett & Platt,Industrials,Home Furnishings,7.0,,enhanc peopl live 130 year
412,Lehman Brothers , Where Vision Gets Built,40,,Financials,,,,vision get built
413,Lennar Corp.,Everything's Included.,25,Lennar Corp.,Consumer Discretionary,Homebuilding,2.0,,everyth includ
414,Lenovo,We are building a new technology company.,45,Lenovo,Information Technology,,,,build new technolog compani
415,Leucadia National Corp.,Clients First-Always,40,Leucadia National Corp.,Financials,,2.0,,client firstalway
416,Level 3 Communications,Building a Better Future,50,Level 3 Communications,Telecommunication Services,,4.0,,build better futur
417,LG,Life's Good,25,,Consumer Discretionary,,,,life good
418,Lilly (Eli) & Co.,Innovation is personal,35,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,3.0,,innov person
419,Lincoln National,Hello Future,40,Lincoln National,Financials,Multi-line Insurance,2.0,,hello futur
420,Linear Technology Corp.,Enabling an Intelligent Planet,20,Linear Technology Corp.,Industrials,,4.0,,enabl intellig planet
421,Little Caesars,Pizza! Pizza!,25,Little Caesars,Consumer Discretionary,,,,pizza pizza
422,Lockheed Martin Corp.,We Never Forget Who We Are Working For,20,Lockheed Martin Corp.,Industrials,Aerospace & Defense,8.0,,never forget work
423,Loews Corp.,"EXPERIENCED, FORWARD, THINKING",40,Loews Corp.,Financials,Multi-line Insurance,3.0,,experienc forward think
424,Lowe's Cos.,Love Where You Live,25,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,4.0,,love live
425,Lowe's,Improving home improvement.,25,Lowe's,Consumer Discretionary,,,,improv home improv
426,Lowe's,Let's build something together.,25,Lowe's,Consumer Discretionary,,,,let build someth togeth
427,Lowe's,Never stop improving.,25,Lowe's,Consumer Discretionary,,,,never stop improv
428,Lufthansa, There is no better way to fly,20,,Industrials,,,,better way fli
429,LyondellBasell,Fuelling the power to within,15,LyondellBasell,Materials,Specialty Chemicals,5.0,,fuell power within
430,M&Ms,"Melts in your mouth, not in your hands.",30,M&Ms,Consumer Staples,,,,melt mouth hand
431,M&T Bank Corp.,Understanding what's important,40,M&T Bank Corp.,Financials,Regional Banks,3.0,,understand import
432,Macerich,We create shopping experiences.,60,Macerich,Real Estate,Retail REITs,4.0,,creat shop experi
433,Macy's Inc.,Way to shop!,25,Macy's Inc.,Consumer Discretionary,Department Stores,3.0,,way shop
434,Malaysian Airlines , Going Beyond Expectations,20,,Industrials,,,,go beyond expect
435,Mallinckrodt Plc,Our source. Your supply.,35,Mallinckrodt Plc,Health Care,,4.0,,sourc suppli
436,Marathon Oil Corp.,Going further. Doing more.,10,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,4.0,,go
437,Marathon Petroleum,Going further. Doing more.,10,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,4.0,,go
438,Marriott Int'l.,Live Like a Local,25,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",4.0,,live like local
439,Marsh & McLennan,Get there faster,40,Marsh & McLennan,Financials,Insurance Brokers,3.0,,get faster
440,Martin Marietta Materials,It's not just what we make. It's what we make possible.,15,Martin Marietta Materials,Materials,Construction Materials,11.0,,make make possibl
441,MARUTI SUZUKI, Count on us,25,,Consumer Discretionary,,,,count us
442,Masco Corp.,Building Supplies,20,Masco Corp.,Industrials,Building Products,2.0,,build suppli
443,Master card , There are some things money can't buy. For everything else there'sÿMASTERCARD.,45,,Information Technology,,,,thing money cant buy everyth els theresÿmastercard
444,Mastercard Inc.,Heart of Commerce,45,Mastercard Inc.,Information Technology,Internet Software & Services,3.0,,heart commerc
445,Mattel Inc.,The World's Mattel,25,Mattel Inc.,Consumer Discretionary,Leisure Products,3.0,,world mattel
446,Max NewYork Life Insurance , Your Partner for life,40,,Financials,,,,partner life
447,Maxwell House coffee,Good to the last drop.,30,Maxwell House coffee,Consumer Staples,,,,good last drop
448,Maybelline,Maybe she's born with it. Maybe it's Maybelline.,25,Maybelline,Consumer Discretionary,,,,mayb born mayb maybellin
449,McCormick & Co.,McCormick Brings Passion to Flavor,30,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,5.0,,mccormick bring passion flavor
450,McDonald's Corp.,I'm Lovin' It,25,McDonald's Corp.,Consumer Discretionary,Restaurants,3.0,,lovin
451,McDonald's,"Food, folks and fun.",25,McDonald's,Consumer Discretionary,Restaurants,,,food folk fun
452,McDonald's,Have you had your break today?,25,McDonald's,Consumer Discretionary,Restaurants,,,break today
453,McDonald's,We love to see you smile.,25,McDonald's,Consumer Discretionary,Restaurants,,,love see smile
