,COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,Unnamed: 7,CSLOGANS
454,McDonald's,You deserve a break today.,25,McDonald's,Consumer Discretionary,Restaurants,,,deserv break today
455,McDowells Signature , The New Sign of Success.,30,,Consumer Staples,,,,new sign success
456,McKesson Corp.,Empowering Healthcare.,35,McKesson Corp.,Health Care,Health Care Distributors,2.0,,empow healthcar
457,Medtronic plc,Alleviating Pain • Restoring Health • Extending Life,35,Medtronic plc,Health Care,Health Care Equipment,8.0,,allevi pain • restor health • extend life
458,Merck & Co.,Committed to making a difference.,35,Merck & Co.,Health Care,Pharmaceuticals,5.0,,commit make differ
459,MetLife Inc.,It's at times like this that Metlife sets itself apart.,40,MetLife Inc.,Financials,Life & Health Insurance,10.0,,time like metlif set apart
460,METRO , The spirit of Commerce,30,,Consumer Staples,,,,spirit commerc
461,Metropolitan Life Insurance Company or Metlife. , Have You Met Life Today,40,,Financials,,,,life today
462,Michael Kors Holdings,"A chic, luxurious, sexy fragrance for women.",25,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",7.0,,chic luxuri sexi fragranc women
463,Microchip Technology,"anything that revolves, anything that moves",45,Microchip Technology,Information Technology,Semiconductors,6.0,,anyth revolv anyth move
464,Micron Technology,Performance. Power. Reliability,45,Micron Technology,Information Technology,Semiconductors,3.0,,perform power reliabl
465,Microsoft Corp.,Your Potential. Our Passion.,45,Microsoft Corp.,Information Technology,Systems Software,4.0,,potenti passion
466,MITTAL STEEL , Shaping the future of steel,15,,Materials,,,,shape futur steel
467,Mohawk Industries,It's more than a floor.,25,Mohawk Industries,Consumer Discretionary,Home Furnishings,5.0,,floor
468,Molson Coors Brewing Company,The Banquet Beer.,30,Molson Coors Brewing Company,Consumer Staples,Brewers,3.0,,banquet beer
469,Mondelez International,Make today delicious,30,Mondelez International,Consumer Staples,Packaged Foods & Meats,3.0,,make today delici
470,Monster Beverage,Fuel Your Fire,30,Monster Beverage,Consumer Staples,Soft Drinks,3.0,,fuel fire
471,Monster.com , Never Settle,25,,Consumer Discretionary,,,,never settl
472,Moody's Corp,"Small Business, Credit Index",40,Moody's Corp,Financials,Financial Exchanges & Data,4.0,,small busi credit index
473,Morgan Stanley,World Wise.,40,Morgan Stanley,Financials,Investment Banking & Brokerage,2.0,,world wise
474,Motorola Solutions Inc.,Helping customers be their best in the moments that matter,20,Motorola Solutions Inc.,Industrials,Communications Equipment,10.0,,help custom best moment matter
475,Mylan N.V.,Seeing is believing,35,Mylan N.V.,Health Care,Pharmaceuticals,3.0,,see believ
476,NASDAQ OMX Group,Trade up.,40,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2.0,,trade
477,National Oilwell Varco Inc.,One Company Unlimited Solutions,10,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,4.0,,one compani unlimit solut
478,NDTV Profit , News you can Use.,25,,Consumer Discretionary,,,,news use
479,NetApp,Go further faster,45,NetApp,Information Technology,Internet Software & Services,3.0,,go faster
480,Netflix Inc.,It just might bring everyone together,25,Netflix Inc.,Consumer Discretionary,Internet Software & Services,6.0,,might bring everyon togeth
481,Newell Rubbermaid Co.,Brands That Matter,25,Newell Brands,Consumer Discretionary,Housewares & Specialties,3.0,,brand matter
482,Newfield Exploration Co,Balance of Exploration and Acquisitions,10,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,5.0,,balanc explor acquisit
483,Newmont Mining Corp. (Hldg. Co.),The Gold Company.,15,Newmont Mining Corporation,Materials,Gold,3.0,,gold compani
484,News Corp. Class A,Fair & Balanced.,25,News Corp. Class A,Consumer Discretionary,Publishing,3.0,,fair balanc
485,News Corp. Class B,Fair & Balanced.,25,News Corp. Class B,Consumer Discretionary,Publishing,3.0,,fair balanc
486,NextEra Energy,We Heard You,55,NextEra Energy,Utilities,Multi-Utilities,3.0,,heard
487,Nielsen Holdings,"What People Watch, Listen To and Buy",25,Nielsen Holdings,Consumer Discretionary,Research & Consulting Services,7.0,,peopl watch listen buy
488,Nike,Just Do It,25,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3.0,,
489,Nikon, At the heart of the Image,25,,Consumer Discretionary,,,,heart imag
490,NiSource Inc.,"Premier Safety, Reliability and Service.",55,NiSource Inc.,Utilities,Multi-Utilities,5.0,,premier safeti reliabl servic
491,Noble Energy Inc,"Energizing the World, Bettering People's Lives",10,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,6.0,,energ world better peopl live
492,Nokia, Connecting people,25,,Consumer Discretionary,,,,connect peopl
493,Nordstrom,Reinvent Yourself,25,Nordstrom,Consumer Discretionary,Department Stores,2.0,,reinvent
494,Norfolk Southern Corp.,The Thoroughbred,20,Norfolk Southern Corp.,Industrials,Railroads,2.0,,thoroughbr
495,Northern Trust Corp.,"You know your destination. You need a wise, caring advisor alongside you.",40,Northern Trust Corp.,Financials,Asset Management & Custody Banks,12.0,,know destin need wise advisor alongsid
496,Northrop Grumman Corp.,Defining the future.,20,Northrop Grumman Corp.,Industrials,Aerospace & Defense,3.0,,defin futur
497,NRG Energy,We generate power.,55,NRG Energy,Utilities,Independent Power Producers & Energy Traders,3.0,,gener power
498,Nucor Corp.,It's Our Nature,15,Nucor Corp.,Materials,Steel,3.0,,natur
499,Nvidia Corporation,The Way It's Meant to be Played,45,Nvidia Corporation,Information Technology,Semiconductors,7.0,,way meant play
500,NYSE (New York Stock Exchange) , The world puts its stock in us,40,,Financials,,,,world put stock us
501,O'Reilly Automotive,Professional Part People,20,O'Reilly Automotive,Industrials,Specialty Stores,3.0,,profession part peopl
502,OBC, Where every individual is committed,40,,Financials,,,,everi individu commit
503,Occidental Petroleum,"Develop energy resources safely, profitably and responsibly.",10,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,7.0,,develop energi resourc safe profit respons
504,Omnicom Group,The only we can.The media agencies.,25,Omnicom Group,Consumer Discretionary,Advertising,6.0,,onli canth media agenc
505,ONEOK,The ONE in energy,10,ONEOK,Energy,Oil & Gas Storage & Transportation,4.0,,one energi
506,ONGC , Making Tomorrow Brighter,10,ONGC - Oil and Natural Gas Corporation Limited,Energy,,,,make tomorrow brighter
507,Onida, Neighbor's envy,25,,Consumer Discretionary,,,,neighbor envi
508,Oracle Corp.,Oracle is THE information company,45,Oracle Corp.,Information Technology,Application Software,5.0,,oracl inform compani
509,PACCAR Inc.,The World's Best,20,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,3.0,,world best
510,Parker-Hannifin,Engineering YOUR success,20,Parker-Hannifin,Industrials,Industrial Machinery,3.0,,engin success
511,Paychex Inc.,Payroll. HR. Retirement. Insurance,45,Paychex Inc.,Information Technology,Internet Software & Services,4.0,,payrol hr retir insur
512,PayPal,The safer way to pay online,40,PayPal,Financials,Data Processing & Outsourced Services,6.0,,safer way pay onlin
513,Pentair Ltd.,Pentair water.,20,Pentair plc,Industrials,Industrial Machinery,2.0,,pentair water
514,People's United Financial,Everything Starts With You,40,People's United Financial,Financials,Thrifts & Mortgage Finance,4.0,,everyth start
515,PepsiCo Inc.,Pepsi. It's the cola.,30,PepsiCo Inc.,Consumer Staples,Soft Drinks,4.0,,pepsi cola
516,PerkinElmer,For the Better,35,PerkinElmer,Health Care,Health Care Equipment,3.0,,better
517,Perrigo,Quality Affordable Healthcare Products,35,Perrigo,Health Care,Pharmaceuticals,4.0,,qualiti afford healthcar product
518,Pfizer Inc.,Pfizer Quality.,35,Pfizer Inc.,Health Care,Pharmaceuticals,2.0,,pfizer qualiti
519,PG&E Corp.,Climate Smart,55,PG&E Corp.,Utilities,Multi-Utilities,2.0,,climat smart
520,Philip Morris International,Looks To The Future,25,Philip Morris International,Consumer Discretionary,Tobacco,4.0,,look futur
521,PHILLIPS , Sense and Simplicity,25,,Consumer Discretionary,,,,sens simplic
522,Phillips 66,Proud To Be Here,10,Phillips 66,Energy,Oil & Gas Refining & Marketing,4.0,,proud
523,Pinnacle West Capital,"Creating a sustainable energy future 
for Arizona.",55,Pinnacle West Capital,Utilities,Multi-Utilities,5.0,,creat sustain energi futur arizona
524,Pioneer Natural Resources,Creativity Beyond Imagination,10,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,3.0,,creativ beyond imagin
525,PNC Financial Services,Leading the Way.,40,PNC Financial Services,Financials,Regional Banks,3.0,,lead way
526,Polo Ralph Lauren Corp.,World of Ralph Lauren,25,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",4.0,,world ralph lauren
527,PPG Industries,We protect and beautify the world,15,PPG Industries,Materials,Specialty Chemicals,6.0,,protect beautifi world
528,PPL Corp.,We'll Be There When The Light Goes On,55,PPL Corp.,Utilities,Electric Utilities,8.0,,well light goe
529,Praxair Inc.,MAKING OUR PLANET MORE PRODUCTIVE,15,Praxair Inc.,Materials,Industrial Gases,5.0,,make planet product
530,Principal Financial Group,We'll Give You an Edge.,40,Principal Financial Group,Financials,Life & Health Insurance,5.0,,well give edg
531,Procter & Gamble,"Touching lives, improving life",30,Procter & Gamble,Consumer Staples,Personal Products,4.0,,touch live improv life
532,Progressive Corp.,"It's about you, and it's about time.",40,Progressive Corp.,Financials,Property & Casualty Insurance,7.0,,time
533,Prologis,The strategic partner for Global trade,60,Prologis,Real Estate,Industrial REITs,6.0,,strateg partner global trade
534,Prudential Financial,Bring Your Challenges,40,Prudential Financial,Financials,Life & Health Insurance,3.0,,bring challeng
535,Prudential Insurance Company , Growing and Protecting your wealth,40,,Financials,,,,grow protect wealth
536,Public Serv. Enterprise Inc.,We make things work for you,55,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,6.0,,make thing work
537,Public Storage,Real storage expert.,60,Public Storage,Real Estate,Specialized REITs,3.0,,real storag expert
538,Pulte Homes Inc.,It's our philosophy. It's the way we do business,25,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,9.0,,philosophi way busi
539,PVH Corp.,The Way Forward: Evolve Everyday,25,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",5.0,,way forward evolv everyday
540,Qorvo,All Around You,45,Qorvo,Information Technology,Semiconductors,3.0,,around
541,QUALCOMM Inc.,Enabling the Wireless Industry,45,QUALCOMM Inc.,Information Technology,Semiconductors,4.0,,enabl wireless industri
542,Quanta Services Inc.,Leadership in Performance and Safety,20,Quanta Services Inc.,Industrials,Construction & Engineering,5.0,,leadership perform safeti
543,Quest Diagnostics,The patient comes first,35,Quest Diagnostics,Health Care,Health Care Services,4.0,,patient first
544,Raymond James Financial,llife well planned,40,,Financials,Investment Banking & Brokerage,,,llife well plan
545,Raytheon Co.,Customer Success is our mission,20,Raytheon Co.,Industrials,Aerospace & Defense,5.0,,custom success mission
546,Realty Income Corporation,The Monthly Dividend Company,60,Realty Income Corporation,Real Estate,Retail REITs,4.0,,monthli dividend compani
547,Red Hat Inc.,We're stronger together,45,Red Hat Inc.,Information Technology,Systems Software,3.0,,stronger togeth
548,Regeneron,Science to medicine.,35,Regeneron,Health Care,Biotechnology,3.0,,scienc medicin
549,Regions Financial Corp.,You can expect more stability.,40,Regions Financial Corp.,Financials,Regional Banks,5.0,,expect stabil
550,Reid and Taylor,Bond with the Best,25,,Consumer Discretionary,,,,bond best
551,Republic Services Inc,Think Green,20,Republic Services Inc,Industrials,Environmental & Facilities Services,2.0,,think green
552,Robert Half International,Innovation and Excellence in consulting and staffing,20,Robert Half International,Industrials,Human Resource & Employment Services,7.0,,innov excel consult staf
553,Rockwell Automation Inc.,Listen. Think. Solve.,20,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,3.0,,listen think solv
554,Rockwell Collins,Building trust everyday,20,Rockwell Collins,Industrials,Aerospace & Defense,3.0,,build trust everyday
555,Roper Industries,Simple Ideas. Powerful Results.,20,Roper Technologies,Industrials,Industrial Conglomerates,4.0,,simpl idea power result
556,Ross Stores,Dress for Less.,25,Ross Stores,Consumer Discretionary,Apparel Retail,3.0,,dress less
557,Royal Caribbean Cruises Ltd,Get Out There,25,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",3.0,,get
558,Salesforce.com,Success on Demand,45,Salesforce.com,Information Technology,Internet Software & Services,3.0,,success demand
559,Samsonite,Life's a Journey,25,,Consumer Discretionary,,,,life journey
560,SAMSUNG ,imagine the amazing things we can buid,25,,Consumer Discretionary,,,,imagin amaz thing buid
561,SANSUI ,Better than the Best,25,,Consumer Discretionary,,,,better best
562,SCANA Corp,Power for Living,55,SCANA Corp,Utilities,Multi-Utilities,3.0,,power live
563,Schlumberger Ltd.,Excellence in Execution,10,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,3.0,,excel execut
564,Seagate Technology,We turn on ideas,45,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",4.0,,turn idea
565,Sealed Air Corp.(New),Our Products protect your Products,15,Sealed Air,Materials,Paper Packaging,5.0,,product protect product
566,Sempra Energy,For every day life,55,Sempra Energy,Utilities,Multi-Utilities,4.0,,everi day life
567,Sherwin-Williams,Ask Sherwin-Williams,15,Sherwin-Williams,Materials,Specialty Chemicals,2.0,,ask sherwinwilliam
568,Simon Property Group Inc,Self administered and self managed real estate investment trust,60,Simon Property Group Inc,Real Estate,Retail REITs,9.0,,self administ self manag real estat invest trust
569,Singapore Airlines, A GREAT WAY TO FLY,20,,Industrials,,,,great way fli
570,Singapore Stock Exchange (SGX) , Tomorrow Market's Today.,40,,Financials,,,,tomorrow market today
571,SKODA , Obsessed with Quality since 1897.,25,,Consumer Discretionary,,,,obsess qualiti sinc 1897
572,Skyworks Solutions,Breakthrough Simplicity,45,Skyworks Solutions,Information Technology,Semiconductors,2.0,,breakthrough simplic
573,SL Green Realty,Demanding Quality. Delivering Value.,60,SL Green Realty,Real Estate,Office REITs,4.0,,demand qualiti deliv valu
574,Snap-On Inc.,Being a Pro Matters,25,Snap-On Inc.,Consumer Discretionary,Household Appliances,4.0,,pro matter
575,SONY ,BE MOVED,25,,Consumer Discretionary,,,,move
576,Southern Co.,Smart Energy. Smart Grid. Smart Choices.,55,Southern Co.,Utilities,Electric Utilities,6.0,,smart energi smart grid smart choic
577,Southwest Airlines,Low fares. Nothing to hide. That's Transfarency,20,Southwest Airlines,Industrials,Airlines,4.0,,low fare noth hide transfar
578,Spice Jet, Flying for everyone,20,,Industrials,,,,fli everyon
579,Standard Chartered Bank , Your Right Partner,40,,Financials,,,,right partner
580,Standard Insurance Company Limited. , Positively Different.,40,,Financials,,,,posit differ
581,Stanley Black & Decker,Performance in Action,25,Stanley Black & Decker,Consumer Discretionary,Household Appliances,3.0,,perform action
582,Starbucks Corp.,Romancing the bean,25,Starbucks Corp.,Consumer Discretionary,Restaurants,3.0,,romanc bean
583,Starwood Hotels & Resorts,Who's taking care of you,25,,Consumer Discretionary,,,,take
584,State Street Corp.,Passionate about our client's success.,40,State Street Corp.,Financials,Asset Management & Custody Banks,5.0,,passion client success
585,Stericycle Inc,Protecting People. Reducing Risk.,20,Stericycle Inc,Industrials,Environmental & Facilities Services,4.0,,protect peopl reduc risk
586,Stryker Corp.,We make a difference,35,Stryker Corp.,Health Care,Health Care Equipment,4.0,,make differ
587,SunTrust Banks,Live Solid. Bank Solid. SunTrust.,40,SunTrust Banks,Financials,Regional Banks,5.0,,live solid bank solid suntrust
588,SUZLON ENERGY , Powering a Greener Tomorrow.,10,,Energy,,,,power greener tomorrow
589,Symantec Corp.,Confidence in a connected world.,45,Symantec Corp.,Information Technology,Application Software,5.0,,confid connect world
590,Synchrony Financial,Engage With Us,40,Synchrony Financial,Financials,Consumer Finance,3.0,,engag us
591,Sysco Corp.,Good things come from Sysco,45,Sysco Corp.,Information Technology,Food Distributors,5.0,,good thing sysco
592,T. Rowe Price Group,Invest With Confidence,40,T. Rowe Price Group,Financials,Asset Management & Custody Banks,3.0,,invest confid
593,Target Corp.,Expect More. Pay Less.,25,Target Corp.,Consumer Discretionary,General Merchandise Stores,4.0,,expect pay less
594,Tata Indicom, Talk as you pay,50,,Telecommunication Services,,,,talk pay
595,TATA MOTORS , Even More Car per Car,25,,Consumer Discretionary,,,,even car car
596,TE Connectivity Ltd.,Every Connection Counts,45,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,3.0,,everi connect count
597,TESCO , Every Little Helps,30,,Consumer Staples,,,,everi littl help
598,Texas Instruments,Technology for Innovators,45,Texas Instruments,Information Technology,Semiconductors,3.0,,technolog innov
599,Textron Inc.,Reaching new heights.,20,Textron Inc.,Industrials,Aerospace & Defense,3.0,,reach new height
600,Thai Airways, SMOOTH AS SILK,20,,Industrials,,,,smooth silk
601,The Bank of New York Mellon Corp.,The Investments Company for the World,40,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,6.0,,invest compani world
602,The Clorox Company,"We make everyday life better, every day",25, ,Consumer Discretionary, ,7.0,,make everyday life better everi day
603,The Coca Cola Company,Things go better with Coke.,30,Coca-Cola Company (The),Consumer Staples,Soft Drinks,5.0,,thing go better coke
604,THE DAILY TELEGRAPH , Read a Bestseller everyday ,25,,Consumer Discretionary,,,,read bestsel everyday
605,The Hershey Company,The Sweetest Taste on Earth,30,  ,Consumer Staples,Packaged Foods & Meats,5.0,,sweetest tast earth
606,The Mosaic Company,Helping the World Grow the Food it Needs,15,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,8.0,,help world grow food need
607,The Walt Disney Company,I'm going to Disney World!,25,The Walt Disney Company,Consumer Discretionary,Cable & Satellite,5.0,,go disney world
608,Thermo Fisher Scientific,The world leader in serving science,35,Thermo Fisher Scientific,Health Care,Health Care Equipment,6.0,,world leader serv scienc
609,Tiffany & Co.,True love grows,25,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3.0,,true love grow
610,TIMESJOBS.COM ," "" If you have a reason, we have the job """,25,,Consumer Discretionary,,,,reason job
611,TJX Companies Inc.,Get the max for the minimum.,25,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,6.0,,get max minimum
612,Torchmark Corp.,For middle income Americans,40,Torchmark Corp.,Financials,Life & Health Insurance,4.0,,middl incom american
613,TOSHIBA , Choose Freedom,25,,Consumer Discretionary,,,,choos freedom
614,Total System Services,People-Centered Payments,45,Total System Services,Information Technology,Internet Software & Services,2.0,,peoplecent payment
615,TOYOTA , Touch The Perfection,25,,Consumer Discretionary,,,,touch perfect
616,Tractor Supply Company,For Life Out Here,25,Tractor Supply Company,Consumer Discretionary,Specialty Stores,4.0,,life
617,TripAdvisor,Plan and book your perfect trip,25,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,6.0,,plan book perfect trip
618,Twenty-First Century Fox Class A,HOME ENTERTAINMENT,25,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,2.0,,home entertain
619,Twenty-First Century Fox Class B,HOME ENTERTAINMENT,25,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,2.0,,home entertain
620,Tyson Foods,Powered by Tyson.,30,Tyson Foods,Consumer Staples,Packaged Foods & Meats,3.0,,power tyson
621,U.S. Bancorp,All of US serving you.,40,U.S. Bancorp,Financials,Diversified Banks,5.0,,us serv
622,UBS , You and Us,40,,Financials,,,,us
623,UDR Inc,Opening Doors To The Future,60,UDR Inc,Real Estate,Residential REITs,5.0,,open futur
624,Under Armour,Protect This House,25,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3.0,,protect hous
625,Union Bank of India , Good People to Bank with,40,,Financials,,,,good peopl bank
626,Union Pacific,Building America.,20,Union Pacific,Industrials,Railroads,2.0,,build america
627,United Continental Holdings,Let's fly together,20,United Continental Holdings,Industrials,Airlines,3.0,,let fli togeth
628,United Health Group Inc.,Helping People Live Healthier Lives.,35,United Health Group Inc.,Health Care,Managed Health Care,5.0,,help peopl live healthier live
629,United Parcel Service,We run the tightest ship in the shipping business.,20,United Parcel Service,Industrials,Air Freight & Logistics,9.0,,run tightest ship ship busi
630,"United Rentals, Inc.",You're building the future. We're here to help.,20,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,8.0,,build futur help
631,United Technologies,You can see everything from here,20,United Technologies,Industrials,Aerospace & Defense,6.0,,see everyth
632,"Universal Health Services, Inc.",The Health Care you need. Close to Home.,35,"Universal Health Services, Inc.",Health Care,Health Care Facilities,8.0,,health need close home
633,Unum Group,Better Benefits at Work.,40,Unum Group,Financials,Life & Health Insurance,4.0,,better benefit work
634,V.F. Corp.,We Fit Your Life,25,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",4.0,,fit life
635,Valero Energy,Investing in Excellence.,10,Valero Energy,Energy,Oil & Gas Refining & Marketing,3.0,,invest excel
636,Varian Medical Systems,A partner for life,35,Varian Medical Systems,Health Care,Health Care Equipment,4.0,,partner life
637,Ventas Inc,"Reliable Capital, Delivering value",60,Ventas Inc,Real Estate,Health Care REITs,4.0,,reliabl capit deliv valu
638,Verisign Inc.,Powered by Verisign,45,Verisign Inc.,Information Technology,Internet Software & Services,3.0,,power verisign
639,Verisk Analytics,Serve. Add Value. Innovate,20,Verisk Analytics,Industrials,Research & Consulting Services,4.0,,serv add valu innov
640,Verizon Communications,Rule the Air,50,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services,3.0,,rule air
641,Vertex Pharmaceuticals Inc,The Science of Possibility,35,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,4.0,,scienc possibl
642,Viacom Inc.,I want My MTV,25,Viacom Inc.,Consumer Discretionary,Cable & Satellite,4.0,,mtv
643,Virginia Slim Cigarettes, YOU'VE COME A LONG WAY BABY,25,,Consumer Discretionary,,,,youv long way babi
644,Visa Inc.,Go with Visa,45,Visa Inc.,Information Technology,Internet Software & Services,3.0,,go visa
645,VIZAG STEEL , Pride of Steel,15,,Materials,,,,pride steel
646,VOLKSWAGEN, Think Small,25,,Consumer Discretionary,,,,think small
647,VOLKSWAGEN , Drivers wanted,25,,Consumer Discretionary,,,,driver
648,Vornado Realty Trust,Fully-integrated real estate investment trust,60,Vornado Realty Trust,Real Estate,Office REITs,5.0,,fullyintegr real estat invest trust
649,Vulcan Materials,Think Safety,15,Vulcan Materials,Materials,Construction Materials,2.0,,think safeti
650,Walgreens Boots Alliance,The Pharmacy America trusts.,30,Walgreens Boots Alliance,Consumer Staples,Drug Retail,4.0,,pharmaci america trust
651,WALMART , Always low prices. Always.,30,Walmart,Consumer Staples,Hypermarkets & Super Centers,,,alway low price alway
652,Wal-Mart Stores,Save Money. Live Better.,30,Walmart,Consumer Staples,Hypermarkets & Super Centers,4.0,,save money live better
653,Waste Management Inc.,Think green,20,Waste Management Inc.,Industrials,Environmental & Facilities Services,2.0,,think green
654,Waters Corporation,The science of what's possible,35,Waters Corporation,Health Care,Health Care Distributors,5.0,,scienc possibl
655,Wells Fargo,Together we'll go far.,40,Wells Fargo,Financials,Diversified Banks,4.0,,togeth well go far
656,Welltower Inc.,Humane Capital Help Desk,60,Welltower Inc.,Real Estate,Health Care REITs,4.0,,human capit help desk
657,Western Digital,Designed to protect your data.,45,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",5.0,,design protect data
658,Western Union Co,The fastest way to send money  worldwide,40,Western Union Co,Financials,Internet Software & Services,8.0,,fastest way send money worldwid
659,Weyerhaeuser Corp.,Growing a truly great company.,60,Weyerhaeuser,Real Estate,Specialized REITs,5.0,,grow truli great compani
660,Whirlpool Corp.,"Work Globally, Act Locally",25,Whirlpool Corp.,Consumer Discretionary,Household Appliances,4.0,,work global act local
661,Williams Cos.,We make energy happen.,10,Williams Cos.,Energy,Oil & Gas Storage & Transportation,4.0,,make energi happen
662,Willis Towers Watson,Family of Companies,40,Willis Towers Watson,Financials,Insurance Brokers,3.0,,famili compani
663,WIPRO , Applying Thought,45,,Information Technology,,,,appli thought
664,Wynn Resorts Ltd,Wynn Las Vegas,25,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,3.0,,wynn vega
665,Xcel Energy Inc,Responsible by Nature,55,Xcel Energy Inc,Utilities,Multi-Utilities,3.0,,respons natur
666,Xerox, THE DOCUMENT COMPANY,45,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",,,document compani
667,Xerox Corp.,Work can work better,45,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",4.0,,work work better
668,Xilinx Inc,All Programmable,45,Xilinx,Information Technology,Semiconductors,2.0,,programm
669,XL Capital,Make Your World Go,40,XL Group,Financials,Property & Casualty Insurance,4.0,,make world go
670,Xylem Inc.,Let's Solve Water,20,Xylem Inc.,Industrials,Industrial Machinery,3.0,,let solv water
671,Yum! Brands Inc,Alone we're delicious together we're Yum!,25,Yum! Brands Inc,Consumer Discretionary,Restaurants,5.0,,alon delici togeth yum
672,Zimmer Biomet Holdings,Personal fit. Renewed life,35,Zimmer Biomet Holdings,Health Care,Health Care Equipment,4.0,,person fit renew life
673,Zions Bancorp,A collection of Great banks,40,Zions Bancorp,Financials,Regional Banks,5.0,,collect great bank
674,Zoetis,"For Animals, For Health. For You",35,Zoetis,Health Care,Pharmaceuticals,6.0,,anim health
